Thread 32: Line 9369: 1 Kings 18:24	Call upon the names of your gods. And I will call on the name of my Lord. And the God who will have heeded with fire, let him be God.” And in response, all the people said, “Excellent proposition.”
Thread 32: Line 9370: 1 Kings 18:25	Then Elijah said to the prophets of Baal: “Choose for yourselves one ox, and prepare it first. For you are many. And call on the names of your gods, but do not place fire under it.”
Thread 32: Line 9372: 1 Kings 18:27	And when it was now midday, Elijah ridiculed them, saying: “Cry out with a louder voice. For he is a god, and perhaps he is talking, or at an inn, or on a journey, or certainly he may be asleep, and must be awakened.”
Thread 32: Line 9393: 1 Kings 19:2	And so Jezebel sent a messenger to Elijah, saying, “May the gods to these things, and may they add these other things, if by this hour tomorrow I will not have made your life like the life of one of them.”
Thread 32: Line 9422: 1 Kings 20:10	And returning, the messengers took this to him, and he sent again and said, “May the gods do these things to me, and may they add these other things, if the dust of Samaria is enough to fill the hands of all the people who follow me.”
Thread 32: Line 9435: 1 Kings 20:23	Then truly, the servants of the king of Syria said to him: “Their gods are the gods of the mountains; because of this, they have overwhelmed us. But it is better that we fight against them in the plains, and then we will prevail over them.
Thread 36: Line 10457: 1 Chronicles 5:25	But they abandoned the God of their fathers, and they fornicated after the gods of the peoples of the land, whom God took away before them.
Thread 36: Line 10673: 1 Chronicles 10:10	But his armor they consecrated in the shrine of their god, and his head they affixed in the temple of Dagon.
Thread 77: Line 22540: Jonah 1:5	And the mariners were afraid, and the men cried out to their god. And they threw the containers that were in the ship into the sea in order to lighten it of them. And Jonah went down into the interior of the ship, and he fell into a painful deep sleep.
Thread 77: Line 22629: Micah 4:5	For all people will walk, each one in the name of his god. But we will walk in the name of the Lord our God, forever and ever.
Thread 77: Line 22746: Habakkuk 1:11	Then his spirit will be altered, and he will cross over and fall. Such is his strength from his god.
Thread 16: Line 4477: Numbers 25:2	who called them to their sacrifices. And they ate, and they adored their gods.
Thread 4: Line 906: Genesis 31:30	It may be that you desired to go to your own, and that you longed for the house of your father. But why have you stolen my gods?”
Thread 4: Line 908: Genesis 31:32	But, since you accuse me of theft, with whomever you will find your gods, let him be slain in the sight of our brothers. Search; anything of yours that you will find with me, take it away.” Now when he said this, he did not know that Rachel had stolen the idols.
